,headline,dominant_emotion,cause,cause_span,start_index,end_index,emotion_label
441,hickenlooper: government can’t compete with private insurance,negative_surprise,"[[""government can’t compete with private insurance""]]",government can’t compete with private insurance,7,14,8
1676,"in case you missed it: bubbles, babies and celebrity horses",positive_surprise,"[[""in case you missed it: bubbles, babies and celebrity horses""]]","in case you missed it: bubbles, babies and celebrity horses",1,12,10
4027,"arte johnson, ‘verry interesting’ comedian on ‘laugh-in,’ dies at 90",sadness,"[[""‘verry interesting’ comedian on ‘laugh-in,’ dies at 90""]]","‘verry interesting’ comedian on ‘laugh-in,’ dies at 90",7,22,12
4551,ex-north korea envoy says trump approved signing of warmbier pledge,positive_surprise,"[[""approved signing of warmbier pledge""]]",approved signing of warmbier pledge,12,18,10
1970,conway doesn’t contradict mcgahn’s testimony but still casts some doubt,negative_anticipation_including_pessimism,"[[""mcgahn’s testimony""]]",mcgahn’s testimony,9,15,7
1313,the white house sent the weirdest flag day tweet—and the internet can’t stop laughing,joy,"[[""flag day tweet—and the internet can’t stop laughing"",""sent the weirdest flag day tweet""]]",flag day tweet—and the internet can’t stop laughing,8,20,5
1401,democrats ponder how to avoid a climate debate,fear,"[[""ponder how to avoid a climate debate""]]",ponder how to avoid a climate debate,3,10,3
4174,"jeffrey epstein abused victims while serving time in florida, accuser’s lawyer says",annoyance,"[[""abused victims while serving time in florida, accuser’s lawyer says""]]","abused victims while serving time in florida, accuser’s lawyer says",7,23,1
3438,yet another former obama official warns border in ‘tremendous crisis’,negative_anticipation_including_pessimism,"[[""warns border in ‘tremendous crisis’""]]",warns border in ‘tremendous crisis’,8,14,7
4013,4 bodies discovered in north dakota office building,sadness,"[[""4 bodies discovered in north dakota office building""]]",4 bodies discovered in north dakota office building,1,10,12
1553,trump offers netanyahu part of syria to boost israeli leader’s flagging re-election campaign,positive_surprise,"[[""part of syria to boost israeli leader’s flagging re-election campaign""]]",part of syria to boost israeli leader’s flagging re-election campaign,7,25,10
2846,russian ship nearly collides with u.s. warship in philippine sea,negative_surprise,"[[""nearly collides with u.s. warship in philippine sea""]]",nearly collides with u.s. warship in philippine sea,5,20,8
3440,"‘caring, fact-based’ nbc news anchor getting cronkite journalism award",love_including_like,"[[""getting cronkite journalism award""]]",getting cronkite journalism award,13,19,6
2436,"this week in brexit: theresa may can’t stop, won’t stop",annoyance,"[[""this week in brexit""]]",this week in brexit,1,6,1
88,mexican border state local police accused of protecting gulf cartel,guilt,"[[""accused of protecting gulf cartel""]]",accused of protecting gulf cartel,8,14,4
1663,gop texas lawmaker accuses top vaccine scientist of 'sorcery',guilt,"[[""top vaccine scientist of 'sorcery'""]]",top vaccine scientist of 'sorcery',11,19,4
4748,fresno county man charged in string of three killings,negative_anticipation_including_pessimism,"[[""fresno county man charged in string of three killings""]]",fresno county man charged in string of three killings,1,11,7
3236,the farmer who cut off his own leg with a pocketknife,negative_surprise,"[[""who cut off his own leg with a pocketknife""]]",who cut off his own leg with a pocketknife,3,13,8
3185,nadler: trump claim of executive privilege could delay mueller testimony,anger,"[[""could delay mueller testimony""]]",could delay mueller testimony,10,15,0
2404,female athlete claims retaliation after fighting transgender athlete policy,annoyance,"[[""fighting transgender athlete policy"",""retaliation after fighting transgender athlete policy""]]",fighting transgender athlete policy,6,9,1
4287,"trump is upset james woods, paul watson deplatformed",anger,"[[""deplatformed""]]",deplatformed,14,17,0
3321,family pay tribute to a 'loveable larrikin' after a car packed with teens t-boned him,positive_surprise,"[[""family pay tribute to a 'loveable larrikin' after a car packed with teens t-boned him""]]",family pay tribute to a 'loveable larrikin' after a car packed with teens t-boned him,1,23,10
4629,when john paul stevens eviscerated antonin scalia,negative_surprise,"[[""when john paul stevens eviscerated antonin scalia""]]",when john paul stevens eviscerated antonin scalia,1,20,8
4809,ny county clerk files lawsuit challenging giving undocumented immigrants licenses,trust,"[[""challenging giving undocumented immigrants licenses"",""ny county clerk files lawsuit""]]",challenging giving undocumented immigrants licenses,7,14,14
1318,trump issues executive order requiring all govt agencies to provide records on “number of citizens and non-citizens in our country”,positive_anticipation_including_optimism,"[[""trump issues executive order requiring all govt agencies to provide records on “number of citizens and non-citizens in our country""]]",trump issues executive order requiring all govt agencies to provide records on “number of citizens and non-citizens in our country,1,26,9
3282,almost 71 million people fleeing conflict and oppression: the worst-affected countries,fear,"[[""the worst-affected countries""]]",the worst-affected countries,10,14,3
2249,barr’s backing of trump sets up showdown with congress,disgust,"[[""showdown with congress"",""barr’s backing of trump""]]",showdown with congress,11,14,2
983,"ethiopia, au float proposal for peace in sudan",positive_anticipation_including_optimism,"[[""au float proposal for peace in sudan""]]",au float proposal for peace in sudan,6,13,9
2459,donald trump’s deranged supporters circle the drain,disgust,"[[""deranged supporters circle the drain""]]",deranged supporters circle the drain,7,13,2
2652,russia’s military exercises in the arctic have more bark than bite,negative_anticipation_including_pessimism,"[[""have more bark than bite""]]",have more bark than bite,12,16,7
2806,joy behar blames president trump for deadly synagogue attack: 'you are the culprit',guilt,"[[""deadly synagogue attack""]]",deadly synagogue attack,10,12,4
3894,war with iran would be even more disastrous than iraq,negative_anticipation_including_pessimism,"[[""would be even more disastrous than iraq""]]",would be even more disastrous than iraq,5,13,7
4326,"for all its flaws, ‘shazam’ beats ‘captain marvel.’ here’s why",positive_surprise,"[[""here’s why""]]",here’s why,19,22,10
3506,'chernobyl' brings the horror of the nuclear disaster to life,fear,"[[""the nuclear disaster to life""]]",the nuclear disaster to life,11,15,3
15,el salvador’s president says his country — not trump — is responsible for migrant deaths in rio grande,sadness,"[[""is responsible for migrant deaths in rio grande""]]",is responsible for migrant deaths in rio grande,17,26,12
1915,taliban fighters freed from guantanamo now face u.s. in peace talks,positive_surprise,"[[""guantanamo now face u.s. in peace talks""]]",guantanamo now face u.s. in peace talks,7,19,10
1473,"meet the trainer to royals, rulers and billionaires",positive_surprise,"[[""rulers and billionaires""]]",rulers and billionaires,8,11,10
383,'piece of garbage': donald trump jr. slams tom arnold over lament he and brother eric haven't been robbed,anger,"[[""lament he and brother eric haven't been robbed""]]",lament he and brother eric haven't been robbed,22,33,0
2864,the alaskan competition involves skiing on water and snow,joy,"[[""competition involves skiing on water and snow"",""involves skiing on water and snow""]]",competition involves skiing on water and snow,5,11,5
3314,el bus tv: news bulletins on the bus in venezuela,negative_surprise,"[[""news bulletins on the bus in venezuela""]]",news bulletins on the bus in venezuela,6,16,8
4578,massive crater in german cornfield likely caused by exploding wwii bomb,negative_surprise,"[[""exploding wwii bomb""]]",exploding wwii bomb,11,15,8
2425,"russia: militants in syria launch attack, have toxic agents",fear,"[[""militants in syria launch attack, have toxic agents""]]","militants in syria launch attack, have toxic agents",5,15,3
2640,"ms-13 members from l.a. charged in string of grisly killings, prosecutors say",guilt,"[[""string of grisly""],[""in string of grisly""]]",string of grisly,13,17,4
4226,female reporter assaulted by antifa exposes charlottesville,anger,"[[""female reporter assaulted""]]",female reporter assaulted,1,3,0
3529,democrat rep. al green moves to impeach trump for his attacks on 'the squad',disgust,"[[""attacks on 'the squad'""],[""al green moves to impeach""]]",attacks on 'the squad',16,21,2
2181,u.s. and japan battle china for influence in zimbabwe,positive_anticipation_including_optimism,"[[""battle china for influence in zimbabwe""]]",battle china for influence in zimbabwe,9,19,9
890,"when the chips are down, never bet against the us army",negative_anticipation_including_pessimism,"[[""never bet against""],[""never bet""]]",never bet against,7,9,7
2313,nasty washpost column: trump ‘not troubled’ by possible attempts to kill omar,anger,"[[""not troubled’ by possible attempts to kill omar""]]",not troubled’ by possible attempts to kill omar,9,18,0
2309,muslim women in sri lanka are pissed about the post-bombing burqa ban,anger,"[[""post-bombing burqa ban"",""about the post-bombing burqa ban""]]",post-bombing burqa ban,14,20,0
748,it sure looks like trump is subverting the succession process to put a loyalist in charge of intel,negative_anticipation_including_pessimism,"[[""subverting the succession process to put a loyalist in charge of intel""]]",subverting the succession process to put a loyalist in charge of intel,8,23,7
1352,a senator wants to have a greater impact. so he’s leaving the senate.,pride,"[[""impact. so he’s leaving the""],[""so he’s leaving the senate.""]]",impact. so he’s leaving the,8,15,11
3392,"that viral video of a chimp scrolling instagram is bad, actually",disgust,"[[""chimp scrolling instagram is bad, actually""]]","chimp scrolling instagram is bad, actually",6,17,2
917,abolishing the electoral college would be a mistake,negative_surprise,"[[""abolishing the electoral college would be a mistake""]]",abolishing the electoral college would be a mistake,1,10,8
3336,"his visa was stamped, his papers in order. then he was targeted by a secretive cbp task force.",sadness,"[[""then he was targeted by a secretive cbp task force.""]]",then he was targeted by a secretive cbp task force.,11,24,12
3509,6-year-old boy hospitalized after dingo attack in australia,negative_surprise,"[[""dingo attack in australia""]]",dingo attack in australia,10,16,8
3898,"wimbledon 2019: on a day when serena williams didn’t have it, simona halep had it all",positive_surprise,"[[""didn’t have it, simona halep had it all""]]","didn’t have it, simona halep had it all",16,29,10
4440,top iran commander invokes 9/11 to say us is “frail”; a “full intelligence war” is on,fear,"[[""a “full intelligence war” is on""]]",a “full intelligence war” is on,20,27,3
1763,the balkan wars created a generation of christian terrorists,fear,"[[""created a generation of christian terrorists""]]",created a generation of christian terrorists,6,13,3
1937,‘star wars: the rise of skywalker’ trailer debuts,joy,"[[""‘star wars: the rise of skywalker’ trailer debuts""]]",‘star wars: the rise of skywalker’ trailer debuts,1,14,5
4842,"my dispiriting, infuriating – and illuminating – time as a political telemarketer",anger,"[[""my dispiriting, infuriating – and illuminating – time as a political telemarketer""]]","my dispiriting, infuriating – and illuminating – time as a political telemarketer",1,24,0
2082,censorship: facebook deleted a post from @michellemalkin that criticized the company for banning her friends laura loomer and gavin mcinnes,negative_surprise,"[[""criticized the company for banning her friends""]]",criticized the company for banning her friends,16,22,8
312,"no, joe biden didn’t cause mass incarceration",negative_anticipation_including_pessimism,"[[""didn’t cause mass incarceration""]]",didn’t cause mass incarceration,7,15,7
4373,former students recall jeffrey epstein paid particular attention to teenage girls,disgust,"[[""paid particular attention to teenage girls""]]",paid particular attention to teenage girls,10,15,2
3985,cnn host says trump acting like 'toddler' after 'un-american' comments about opposition research,anger,"[[""comments about opposition research""],[""acting like 'toddler'""]]",comments about opposition research,21,24,0
4236,james gill: salon crash latest example of why new orleans police can't always give chase to criminals,anger,"[[""new orleans police can't always give chase to criminals"",""salon crash latest example of why new orleans police can't always give chase to criminals""]]",new orleans police can't always give chase to criminals,12,24,0
372,"isis lost its home, but economic empire stands",negative_surprise,"[[""but economic empire stands""]]",but economic empire stands,7,10,8
4080,kwame akoto-bamfo: 'you see the faces of our ancestors',sadness,"[[""'you see the faces of our ancestors'""]]",'you see the faces of our ancestors',11,19,12
4712,video of cocaine bust at sea shows importance of coast guard funding,positive_surprise,"[[""of""],[""coast guard funding""]]",of,2,2,10
2334,search warrants show how new zealand far-right terrorist inspired copycat in california,negative_surprise,"[[""inspired copycat in california""],[""terrorist""]]",inspired copycat in california,14,22,8
3172,kamala harris takes her post-debate momentum to iowa,positive_anticipation_including_optimism,"[[""post-debate momentum to iowa""]]",post-debate momentum to iowa,9,15,9
137,sport shorts: juventus sign matthijs de ligt and lando norris urges lewis hamilton to ‘stick around’ in f1,positive_surprise,"[[""norris urges""],[""matthijs de ligt and lando norris""]]",norris urges,20,22,10
4964,europe is beating the us in the battery race—with china’s help,positive_surprise,"[[""battery race—with china’s help""],[""battery""],[""in the battery""]]",battery race—with china’s help,9,17,10
3700,family of toddler who fell from cruise ship grapples with 'unfathomable' loss,sadness,"[[""who fell from cruise ship grapples with 'unfathomable' loss""]]",who fell from cruise ship grapples with 'unfathomable' loss,5,21,12
420,"easter weekend bombings in sri lanka kill 207 at churches, hotels",negative_surprise,"[[""bombings in sri lanka kill 207 at churches, hotels""]]","bombings in sri lanka kill 207 at churches, hotels",4,15,8
4067,homelessness rises in argentina's capital amid crisis,sadness,"[[""homelessness rises in argentina's capital""]]",homelessness rises in argentina's capital,1,10,12
2005,billionaire foreigner wants higher taxes for americans,anger,"[[""wants higher taxes for americans"",""higher taxes for americans""]]",wants higher taxes for americans,4,10,0
2840,police footage: the interrogation that led to ricky joyner’s murder charge,negative_surprise,"[[""the interrogation that led to ricky joyner’s murder charge""]]",the interrogation that led to ricky joyner’s murder charge,4,17,8
3144,eu leaders agree to extend brexit deadline until end of october,anger,"[[""extend brexit deadline until end of october""]]",extend brexit deadline until end of october,6,17,0
2956,pelosi applauds mueller for providing 'record' for 'future action' by congress,joy,"[[""providing 'record' for 'future action' by congress"",""for providing 'record' for 'future action' by congress""]]",providing 'record' for 'future action' by congress,11,21,5
2503,"demise of key nuclear pact looms as us, russia meet",negative_anticipation_including_pessimism,"[[""key nuclear pact looms""]]",key nuclear pact looms,3,7,7
623,turkish opposition leader safe after attack at soldier’s funeral,positive_surprise,"[[""safe after attack at soldier’s funeral""]]",safe after attack at soldier’s funeral,7,14,10
3116,california judge blocks even more border wall construction,negative_surprise,"[[""blocks even more border wall construction""]]",blocks even more border wall construction,7,12,8
3615,"the last time there was this much co2, trees grew at the south pole",negative_anticipation_including_pessimism,"[[""trees grew at the south pole""]]",trees grew at the south pole,11,16,7
4461,ex-our lady of the lake foundation chief funes pleads guilty in embezzling case,guilt,"[[""guilty in embezzling case""]]",guilty in embezzling case,14,19,4
4089,manila’s abortion ban is killing women,sadness,"[[""manila’s abortion ban is killing women""]]",manila’s abortion ban is killing women,1,9,12
847,the welfare state they were in,joy,"[[""state they were in"",""they were in""]]",state they were in,3,6,5
2162,u.s. fingers iran for tanker attacks,guilt,"[[""for tanker attacks""]]",for tanker attacks,8,10,4
4885,media lies about trump to cover up the brutal reality of late-term abortion,disgust,"[[""late-term abortion""]]",late-term abortion,13,16,2
2302,"lord winston, 78, demands licence plates for bikes after woman cyclist kicked him 'repeatedly'",disgust,"[[""demands licence plates for bikes after woman cyclist kicked him 'repeatedly'""]]",demands licence plates for bikes after woman cyclist kicked him 'repeatedly',7,19,2
4301,us diplomat pompeo comes to europe with a tough iran message,negative_anticipation_including_pessimism,"[[""europe""],[""iran message""]]",europe,9,10,7
4062,goodbye to japan’s foreign relations emperor,sadness,"[[""goodbye to japan’s foreign relations emperor""]]",goodbye to japan’s foreign relations emperor,1,10,12
2852,sex magic: teen vogue’s latest effort to derail young girls,negative_anticipation_including_pessimism,"[[""latest effort to derail young girls"",""derail young girls""]]",latest effort to derail young girls,9,15,7
900,[non-nrsro] softbank corp. a mobile telephone terminal credit trust series 2019-3 -- moody's assigns definitive rating to sb's handset receivables abs,trust,"[[""moody's assigns definitive rating to sb's handset receivables abs""]]",moody's assigns definitive rating to sb's handset receivables abs,25,44,14
997,fresh calls for trump’s impeachment after mueller statement,annoyance,"[[""mueller statement""]]",mueller statement,12,15,1
4702,this diy artist transforms into haunted house icons in this hilarious series,positive_surprise,"[[""haunted house icons in this hilarious series""]]",haunted house icons in this hilarious series,7,15,10
909,"22nd democrat presidential candidate announces, explains why he's got best shot; some dems not happy about it",annoyance,"[[""some dems not happy about it""]]",some dems not happy about it,17,23,1
4259,poles protest us push for holocaust reparations,anger,"[[""poles protest""],[""holocaust reparations""]]",poles protest,1,2,0
4735,aid group: more funds needed for ebola safe burials in congo,sadness,"[[""aid group: more funds needed for ebola safe burials in congo""]]",aid group: more funds needed for ebola safe burials in congo,1,15,12
2711,toddler miraculously survives fall down steep embankment in arkansas,positive_surprise,"[[""fall down steep embankment in arkansas""]]",fall down steep embankment in arkansas,7,16,10
4405,forum reflects on rising concerns for jews across the world,fear,"[[""jews across the world""]]",jews across the world,7,11,3
37,greta gerwig and noah baumbach welcome their first child,negative_surprise,"[[""welcome their first child""]]",welcome their first child,13,16,8
1528,the clean slate act's record-sealing provisions go further than cory booker's marijuana justice act,negative_surprise,"[[""than cory booker's marijuana justice act""]]",than cory booker's marijuana justice act,13,22,8
2670,"trump’s rhetoric echoes nazi germany, beto o’rourke says, accurately",guilt,"[[""trump’s rhetoric echoes nazi germany, beto o’rourke says, accurately""]]","trump’s rhetoric echoes nazi germany, beto o’rourke says, accurately",1,22,4
3030,compost potatoes might be josé andrés’s ‘most insane recipe’ yet. here’s what they taste like.,positive_surprise,"[[""here’s what they taste like.""]]",here’s what they taste like.,21,28,10
1925,this refugee-led cooking class is making space for cultural exchange,joy,"[[""making space for cultural exchange""]]",making space for cultural exchange,8,12,5
4895,"ben carson says as a pediatric neurosurgeon, he hesitated to send children back to ‘infested’ homes in baltimore",fear,"[[""homes in baltimore""]]",homes in baltimore,27,32,3
2012,"exclusive — rep. dan crenshaw: adam schiff lied, ‘knowingly used his position’ as intel chair to ‘deceive the american people’",anger,"[[""adam schiff lied, ‘knowingly used his position’ as intel chair to ‘deceive the american people’""]]","adam schiff lied, ‘knowingly used his position’ as intel chair to ‘deceive the american people’",12,39,0
942,brzezinski goes after biden accusers -- 'don't inject it into a presidential campaign',anger,"[[""'don't inject it into a presidential campaign'""]]",'don't inject it into a presidential campaign',15,26,0
2105,proud father stands up for daughter with down syndrome,pride,"[[""stands up for daughter with down syndrome""]]",stands up for daughter with down syndrome,3,9,11
3196,parents in south korea are upset they can’t beat their kids anymore,anger,"[[""are upset they can’t beat their kids anymore""]]",are upset they can’t beat their kids anymore,7,16,0
3611,the democrats who voted to keep impeachment options open,negative_surprise,"[[""who voted to keep impeachment options open""]]",who voted to keep impeachment options open,4,12,8
2691,good news about democracy: it's good for your health,joy,"[[""it's good for your health""]]",it's good for your health,6,12,5
4519,trump’s decision to arm the saudis against iran will end in disaster,negative_anticipation_including_pessimism,"[[""iran will end in disaster""]]",iran will end in disaster,13,18,7
1417,"flooding in baton rouge: streets closed, cars stuck, some buildings take on water",sadness,"[[""streets closed, cars stuck, some buildings take on water""]]","streets closed, cars stuck, some buildings take on water",9,19,12
801,palestinian forces arrest participant in us mideast workshop,disgust,"[[""participant in us mideast workshop"",""arrest participant in us mideast workshop""]]",participant in us mideast workshop,6,12,2
2671,us blames iran's government for devastating flood damage,guilt,"[[""iran's government for devastating flood damage""]]",iran's government for devastating flood damage,4,12,4
2899,"yes, you can get pregnant when you're already pregnant",negative_surprise,"[[""yes, you can get pregnant when you're already pregnant""]]","yes, you can get pregnant when you're already pregnant",1,12,8
2315,new orleans congressman calls steve king a ‘white supremacist’ after katrina comments,anger,"[[""after katrina comments""]]",after katrina comments,21,25,0
4265,rosengren says decline in u.s.10-year yield due to weakness of trading partners,negative_anticipation_including_pessimism,"[[""decline in u.s.10-year yield due to weakness of trading partners""]]",decline in u.s.10-year yield due to weakness of trading partners,5,20,7
3583,no citizenship question on 2020 census as trump backs down,positive_anticipation_including_optimism,"[[""no citizenship question on 2020 census""]]",no citizenship question on 2020 census,1,6,9
3053,shinano kenshi introduces new corporate brand,positive_surprise,"[[""new corporate brand"",""introduces new corporate brand""]]",new corporate brand,8,10,10
2438,trump advisor leaves high-powered consulting firm after calling house judiciary chairman jerry nadler ‘a f*cking scumbag’,anger,"[[""after calling House Judiciary Chairman Jerry Nadler ‘a f*cking scumbag’""]]",after calling house judiciary chairman jerry nadler ‘a f*cking scumbag’,10,28,0
2577,the startling image of the blood-spattered victim of the virginia beach shooting,negative_surprise,"[[""virginia beach shooting"",""of the virginia beach shooting""]]",virginia beach shooting,13,16,8
4393,attorney general bill barr is now in possession of the mueller report — and could send parts of it to congress this weekend,fear,"[[""and could send parts of it to congress this weekend""]]",and could send parts of it to congress this weekend,17,26,3
525,the mueller report was just released. read it here.,negative_surprise,"[[""was just released. read it here.""]]",was just released. read it here.,6,13,8
272,drugmakers master rolling out their own generics to stifle competition,annoyance,"[[""own generics to stifle competition""]]",own generics to stifle competition,7,14,1
1723,oberlin is forced to check its woke privilege,negative_anticipation_including_pessimism,"[[""check its woke privilege""]]",check its woke privilege,7,10,7
2863,the abortion debate is no longer about policy,negative_anticipation_including_pessimism,"[[""is no longer about policy""]]",is no longer about policy,4,8,7
3831,biden under fire for his nostalgia for segregationist senators,anger,"[[""his nostalgia for segregationist senators""]]",his nostalgia for segregationist senators,6,13,0
4224,elizabeth warren schools mitch mcconnell on the constitution by reading directly from mueller report on the senate floor,positive_surprise,"[[""the constitution by reading directly from mueller""],[""reading directly from mueller report on the senate floor""]]",the constitution by reading directly from mueller,14,22,10
2978,zero elephants killed by poachers in over a year at one of africaand#039;s largest wildlife preserves,positive_surprise,"[[""zero elephants killed""]]",zero elephants killed,1,3,10
4074,"iran amasses more enriched uranium than allowed under pact, denies breach",negative_surprise,"[[""amasses more enriched uranium than allowed under pact""]]",amasses more enriched uranium than allowed under pact,3,14,8
2046,frightening drug-resistant infection cropping up around the world,fear,"[[""infection""]]",infection,5,5,3
4500,the alex morgan tea-sipping world cup celebration is the ultimate power move,joy,"[[""world cup celebration is the ultimate power move"",""tea-sipping world cup celebration is the ultimate power move""]]",world cup celebration is the ultimate power move,11,18,5
3580,mueller report will be released on thursday morning,positive_anticipation_including_optimism,"[[""released on thursday morning""]]",released on thursday morning,7,12,9
2993,house democrats overcome internal fissures to approve defense-spending bill,positive_surprise,"[[""approve defense-spending bill""]]",approve defense-spending bill,10,14,10
2943,"japanese volunteers curb suicide, with kindness and pancakes",positive_surprise,"[[""curb suicide, with kindness and pancakes""]]","curb suicide, with kindness and pancakes",5,12,10
1164,the spd must change course or die,negative_surprise,"[[""must change course or die""]]",must change course or die,5,9,8
2833,new house bill would bar israel from using u.s. military aid to detain palestinian children,negative_anticipation_including_pessimism,"[[""using u.s. military aid to detain palestinian children""]]",using u.s. military aid to detain palestinian children,10,23,7
2447,utah karaoke and ax-throwing bars are using pool tables to circumvent stupid liquor laws,annoyance,"[[""ax-throwing bars are using pool tables to circumvent stupid liquor laws""]]",ax-throwing bars are using pool tables to circumvent stupid liquor laws,7,23,1
2392,dan fagan: triple shooting near new orleans school yet another sign of city's crime problem,negative_surprise,"[[""triple shooting near new orleans school yet another sign of city's crime problem"",""triple shooting near new orleans school""]]",triple shooting near new orleans school yet another sign of city's crime problem,6,22,8
3642,west indies chasing 292 to beat new zealand: cricket world cup 2019 - live!,positive_anticipation_including_optimism,"[[""cricket world cup 2019 - live!""]]",cricket world cup 2019 - live!,14,20,9
4804,house democrats try to force schools to allow boys to compete in girls’ sports,shame,"[[""force schools to allow boys to compete in girls’ sports"",""house democrats try to force schools to allow boys to compete in girls’ sports""]]",force schools to allow boys to compete in girls’ sports,6,16,13
50,i wore a music-activated vibrator to the club instead of doing drugs,annoyance,"[[""doing drugs""]]",doing drugs,15,16,1
1437,house majority leader steny hoyer is facing a primary challenge,negative_anticipation_including_pessimism,"[[""primary challenge""]]",primary challenge,12,13,7
1920,the latest: iraq to try help end crisis between us and iran,positive_surprise,"[[""iraq to try help end crisis between us and iran""]]",iraq to try help end crisis between us and iran,4,16,10
131,sarah sanders admitted to the special counsel that she lied about comey,guilt,"[[""the special counsel that she lied about comey""]]",the special counsel that she lied about comey,7,15,4
4902,new york times report on trump’s taxes may prompt fraud investigation,negative_anticipation_including_pessimism,"[[""may prompt fraud investigation""]]",may prompt fraud investigation,12,16,7
2699,libyans stop boats carrying hundreds of african and bangladeshi migrants to europe,joy,"[[""stop boats carrying hundreds of african and bangladeshi migrants to europe""]]",stop boats carrying hundreds of african and bangladeshi migrants to europe,5,21,5
1880,megan rapinoe isn’t here to make you comfortable,annoyance,"[[""isn’t here to make you comfortable""]]",isn’t here to make you comfortable,6,13,1
3248,trump sounds reluctant to attack iran. but he’s increasingly surrounded by hawks.,negative_anticipation_including_pessimism,"[[""but he’s increasingly surrounded by hawks.""]]",but he’s increasingly surrounded by hawks.,10,19,7
204,you can now see who's contributing to 2020 presidential campaigns by state,positive_surprise,"[[""2020 presidential campaigns by state""]]",2020 presidential campaigns by state,10,14,10
3945,youtube won't ban steven crowder. vox reporter behind banning campaign has meltdown.,anger,"[[""vox reporter behind banning campaign has""]]",vox reporter behind banning campaign has,14,20,0
3702,federal judge dismisses charges against 3 white supremacists,positive_anticipation_including_optimism,"[[""charges against 3 white supremacists""]]",charges against 3 white supremacists,5,13,9
2305,may's relationship with eu was often rocky,annoyance,"[[""relationship with eu was often rocky""]]",relationship with eu was often rocky,4,10,1
4060,"friends of australian woman, 35, found dead in her london flat raise money to bring her body home",sadness,"[[""found dead in her london flat raise money to bring her body home""]]",found dead in her london flat raise money to bring her body home,10,23,12
2491,at least 11 people have died while climbing mount everest this year,sadness,"[[""while climbing mount everest this year""]]",while climbing mount everest this year,7,13,12
746,israel faces possible second election amid coalition crisis,negative_anticipation_including_pessimism,"[[""israel faces possible second election amid coalition crisis""]]",israel faces possible second election amid coalition crisis,1,10,7
4954,"brexit talks collapse, setting up theresa may’s likely departure",negative_anticipation_including_pessimism,"[[""likely departure""]]",likely departure,14,15,7
531,the deal that curtails iran’s nuclear ambitions seems doomed,negative_anticipation_including_pessimism,"[[""the deal that curtails iran’s nuclear ambitions seems doomed""]]",the deal that curtails iran’s nuclear ambitions seems doomed,1,14,7
153,the growing obsession with linking iran to terrorism,negative_surprise,"[[""linking iran to terrorism"",""the growing obsession with linking iran to terrorism""]]",linking iran to terrorism,5,9,8
1385,check out the lswa's class 5a all-state boys and girls basketball teams,love_including_like,"[[""lswa's class 5a all-state boys and girls basketball teams""]]",lswa's class 5a all-state boys and girls basketball teams,4,19,6
1229,whoopi goldberg intervenes in off-the-rails meghan mccain-joy behar battle over immigration,annoyance,"[[""off-the-rails meghan mccain-joy behar battle over immigration"",""intervenes in off-the-rails meghan mccain-joy behar battle over immigration""]]",off-the-rails meghan mccain-joy behar battle over immigration,9,25,1
1260,donald trump reveals delusional new strategy for 2020,negative_surprise,"[[""reveals delusional new strategy for 2020""]]",reveals delusional new strategy for 2020,5,12,8
1881,meghan markle edits vogue: what to expect,positive_anticipation_including_optimism,"[[""meghan markle edits vogue: what to expect""]]",meghan markle edits vogue: what to expect,1,12,9
4450,william barr is starting to sound awfully nervous about his failing coverup of the mueller report,fear,"[[""awfully nervous about his failing coverup of the mueller report""]]",awfully nervous about his failing coverup of the mueller report,9,22,3
4993,wti oil futures mark lowest settlement since jan. 14,negative_surprise,"[[""wti oil futures mark lowest settlement""]]",wti oil futures mark lowest settlement,1,8,8
639,massive migrant mob walks around border wall,negative_surprise,"[[""walks around border wall"",""massive migrant mob walks around border wall""]]",walks around border wall,4,7,8
2738,ai can thrive in open societies,positive_anticipation_including_optimism,"[[""open societies""]]",open societies,7,8,9
182,"trump slams india’s tariffs on american products, says country has been having a ‘field day’",negative_surprise,"[[""says country has been having a ‘field day’""]]",says country has been having a ‘field day’,18,27,8
3482,"kidney donors are wanted, dead or alive",negative_surprise,"[[""dead or alive""]]",dead or alive,6,8,8
3849,it's not a hate crime for a woman to feel uncomfortable waxing male genitalia | arwa mahdawi,disgust,"[[""uncomfortable waxing male genitalia | arwa mahdawi""]]",uncomfortable waxing male genitalia | arwa mahdawi,13,28,2
4046,"dhs head says 'fewer than 1,000' kids recently separated, like it's something to be proud of",disgust,"[[""'fewer than 1,000' kids recently separated, like it's something to be proud of"",""fewer than 1,000' kids recently separated""]]","'fewer than 1,000' kids recently separated, like it's something to be proud of",5,24,2
4132,"suspected poacher killed by elephant, remains eaten by lions in south africa",sadness,"[[""remains eaten by lions in south africa""]]",remains eaten by lions in south africa,9,17,12
3762,scott warren of no more deaths faces retrial for providing humanitarian aid to migrants in arizona,shame,"[[""faces retrial for providing humanitarian aid to migrants in arizona""]]",faces retrial for providing humanitarian aid to migrants in arizona,9,22,13
2845,russia denies south korean claims of warning shots from jets,negative_surprise,"[[""claims of warning shots from jets"",""denies south korean claims of warning shots from jets""]]",claims of warning shots from jets,9,14,8
2368,violent democrat politician-activist pleads guilty to assault attack on rep. matt gaetz — faces up to one year in prison,anger,"[[""faces up to one year in prison""],[""assault attack on rep. matt gaetz""]]",faces up to one year in prison,23,29,0
