,headline,dominant_emotion,cause,cause_span,start_index,end_index
4332,inside the bizarre movie mel gibson doesn’t want you to see,shame,"[[""gibson""]]",gibson,7,9
2587,this high school's 'political radicalism' class lets students hear from far-right and far-left speakers,fear,"[[""class lets students hear from far-right and far-left speakers""]]",class lets students hear from far-right and far-left speakers,11,23
259,clashes break out at jerusalem holy site,negative_surprise,"[[""jerusalem holy site"",""break out at jerusalem holy site""]]",jerusalem holy site,5,10
2262,corbyn’s labour long ignored complaints of anti-semitism,negative_anticipation_including_pessimism,"[[""ignored complaints of anti-semitism""]]",ignored complaints of anti-semitism,8,14
4183,right-wing terrorism could get even worse after trump,negative_anticipation_including_pessimism,"[[""right-wing terrorism could get even worse""]]",right-wing terrorism could get even worse,1,8
1011,here’s what donald trump can teach democrats about winning crossover votes,annoyance,"[[""democrats about winning crossover votes""]]",democrats about winning crossover votes,11,16
527,the queen makes kings of spain and netherlands knights of the garter,joy,"[[""netherlands knights of the garter""]]",netherlands knights of the garter,9,17
2251,bernie sanders forced to admit he would raise taxes on the middle class,disgust,"[[""forced to admit he would raise taxes on the middle class""]]",forced to admit he would raise taxes on the middle class,6,16
3007,"french official: notre dame fire weakening, cathedral’s towers ‘safe’",fear,"[[""notre dame fire weakening, cathedral’s towers ‘safe’"",""weakening, cathedral’s towers ‘safe’""]]","notre dame fire weakening, cathedral’s towers ‘safe’",5,18
3510,a better address can change a child’s future,positive_anticipation_including_optimism,"[[""a better address can change a child’s future""]]",a better address can change a child’s future,1,10
5,democrats defend congresswomen trump says should “go back” to their “corrupt” countries,disgust,"[[""go back” to their “corrupt” countries""]]",go back” to their “corrupt” countries,12,20
735,hundreds of jewish activists surround ice office to protest detention centers,anger,"[[""surround ice office to protest detention centers""]]",surround ice office to protest detention centers,7,13
4819,taiwan's president reaffirms anti-nuclear stance at march,positive_surprise,"[[""stance at march""]]",stance at march,14,16
2453,alex jones caught in vile racist ritual,disgust,"[[""caught in vile racist ritual"",""vile racist ritual""]]",caught in vile racist ritual,5,10
3614,the guardian view on the venice biennale’s migrant boat: pushing the limits of art | editorial,annoyance,"[[""pushing the limits of art""]]",pushing the limits of art,17,21
1140,soon your driver’s license might not get you through airport security,negative_anticipation_including_pessimism,"[[""license might not get you through airport security""]]",license might not get you through airport security,6,13
4393,attorney general bill barr is now in possession of the mueller report — and could send parts of it to congress this weekend,fear,"[[""and could send parts of it to congress this weekend""]]",and could send parts of it to congress this weekend,17,26
1618,barr is a distraction. we must insist on the moral indictment of trump.,guilt,"[[""we must insist on the moral indictment of trump.""]]",we must insist on the moral indictment of trump.,7,17
554,u.s.: iran test-launched a medium-range ballistic missile,fear,"[[""test-launched a medium-range ballistic missile""]]",test-launched a medium-range ballistic missile,8,16
791,netanyahu set for victory as israelis vote for never-ending military rule of palestinians,annoyance,"[[""rule of palestinians""]]",rule of palestinians,17,22
2497,"boeing sees me as its ‘piggy bank’, lion air co-founder says",fear,"[[""‘piggy""]]",‘piggy,8,10
3247,trump sold property to a ‘mysterious shell company’ tied to one of maduro’s top allies in 2015,negative_surprise,"[[""tied to one of maduro’s top allies in 2015""]]",tied to one of maduro’s top allies in 2015,12,23
1428,hacked emails show gop demands on border security were crafted by industry lobbyists,disgust,"[[""security were crafted by industry lobbyists""]]",security were crafted by industry lobbyists,10,16
3805,what it's like being a woman in media,positive_surprise,"[[""like being a woman in media""]]",like being a woman in media,5,10
4620,trump: white house lawyer emmet flood 'will be leaving service on june 14th',negative_surprise,"[[""will be leaving service on june 14th""]]",will be leaving service on june 14th,11,18
3816,‘the facts we know about already are damning’: conservative writer says the gop would impeach trump if it weren’t run by ‘know-nothing cultists’,anger,"[[""conservative writer says the gop would impeach trump if it weren’t run by ‘know-nothing cultists’""]]",conservative writer says the gop would impeach trump if it weren’t run by ‘know-nothing cultists’,13,37
1902,robert mueller just issued his report about donald trump. here we go…,trust,"[[""just issued his report about donald trump. here we go""]]",just issued his report about donald trump. here we go,6,18
1870,lapd officers will fight british cops in charity boxing event,joy,"[[""british cops in charity boxing event""]]",british cops in charity boxing event,6,13
613,the rebellion in hong kong is intensifying,annoyance,"[[""hong kong is intensifying""]]",hong kong is intensifying,4,11
3708,georgia's republican governor suffering consequences of his reckless abortion action,negative_surprise,"[[""suffering consequences of his reckless abortion action"",""his reckless abortion action""]]",suffering consequences of his reckless abortion action,8,14
4765,progressive jewish group demands end to israel’s brutal occupation,sadness,"[[""israel’s brutal occupation""]]",israel’s brutal occupation,9,15
3886,"tillis' democratic challenger brings in over $720,000 in two weeks",joy,"[[""brings in over $720,000 in two weeks""]]","brings in over $720,000 in two weeks",6,15
1854,gottheimer (d) gets progressive primary challenger,positive_surprise,"[[""gets progressive primary challenger""]]",gets progressive primary challenger,8,11
1585,what’s new in bernie sanders’ new medicare for all plan,positive_surprise,"[[""new medicare for all plan""]]",new medicare for all plan,12,18
4850,tories threaten to defect to farage's party if johnson fails to deliver brexit,negative_anticipation_including_pessimism,"[[""to defect to farage's party if johnson fails to deliver brexit""]]",to defect to farage's party if johnson fails to deliver brexit,4,21
4879,twitter files motion to dismiss nunes suit: twitter user rules are not 'political',annoyance,"[[""twitter user rules are not 'political'"",""to dismiss nunes suit: twitter user rules are not 'political'""]]",twitter user rules are not 'political',12,21
2128,pit bulls maul dozens of cats to death at alabama shelter,sadness,"[[""alabama shelter""]]",alabama shelter,12,15
3211,schachtel: trump needs to confront the qatari emir on his terrorist best friend,shame,"[[""the qatari emir on his terrorist best friend""]]",the qatari emir on his terrorist best friend,11,21
4222,donald trump is mad at the european central bank,anger,"[[""is mad at the european central bank""]]",is mad at the european central bank,5,13
3523,concern about “sexualised” children often misses the point,disgust,"[[""concern about “sexualised” children often misses the point""]]",concern about “sexualised” children often misses the point,1,11
2331,raptors exec allegedly 'pushed' and 'struck' sheriff's deputy after finals game,anger,"[[""sheriff's deputy after finals game"",""allegedly 'pushed' and 'struck' sheriff's deputy after finals game""]]",sheriff's deputy after finals game,13,19
3582,new yorkers are totally unfazed by an alien subway entertainer doing wacky performance,love_including_like,"[[""doing wacky performance""]]",doing wacky performance,16,19
2675,"trump and putin joke about the us problem with ""fake news""",joy,"[[""about the us problem with \\""\\""fake news\\""\\"""",""fake news""]]","about the us problem with ""fake news""",7,15
2272,donald trump goes completely bonkers after he figures out he’s going to be impeached,anger,"[[""figures out he’s going to be impeached""]]",figures out he’s going to be impeached,12,22
2650,"puerto rico’s week of massive protests, explained",guilt,"[[""week of massive protests""]]",week of massive protests,8,11
581,donald trump caught committing a crime while aboard air force one,shame,"[[""caught committing a crime while aboard air force one""]]",caught committing a crime while aboard air force one,5,13
1605,a tale of two surveillance states,trust,"[[""a tale of two surveillance states""]]",a tale of two surveillance states,1,6
1482,"nyt: u.s. steps up attacks on russian electrical grid, but trump may be in the dark",anger,"[[""russian electrical""]]",russian electrical,12,15
4248,mic drop! dana loesch has a super inconvenient question for lefties accusing tulsi gabbard of being a russian puppet,negative_surprise,"[[""accusing tulsi gabbard of being a russian puppet""]]",accusing tulsi gabbard of being a russian puppet,21,34
1708,missouri denies license renewal for lone abortion clinic,negative_surprise,"[[""denies license renewal for lone abortion clinic""]]",denies license renewal for lone abortion clinic,4,10
3411,"trump administration considers scaling back its north korea ambitions, but trump's lies stay big",anger,"[[""scaling back its north korea ambitions, but trump's lies stay big""]]","scaling back its north korea ambitions, but trump's lies stay big",5,23
2499,"british airways pilots' strike gets the go-ahead, sparking fears of chaos at heathrow",fear,"[[""british airways pilots' strike gets the go-ahead, sparking fears of chaos at heathrow""]]","british airways pilots' strike gets the go-ahead, sparking fears of chaos at heathrow",1,23
1980,hong kong braces for more protests on handover anniversary,negative_anticipation_including_pessimism,"[[""braces for more protests on handover anniversary""]]",braces for more protests on handover anniversary,5,13
4185,that was fast! joe biden steps on multiple rakes right out of the gate with this highly problematic take on america,positive_surprise,"[[""joe biden steps on multiple rakes right out of the gate with this highly problematic take on america""]]",joe biden steps on multiple rakes right out of the gate with this highly problematic take on america,5,27
2775,epstein’s lawyer claimed the alleged pedophile helped devise the clinton global initiative,negative_anticipation_including_pessimism,"[[""clinton global initiative""]]",clinton global initiative,19,23
1028,it’s time for saudi arabia to stop exporting extremism,disgust,"[[""it’s time for saudi arabia to stop exporting extremism"",""stop exporting extremism""]]",it’s time for saudi arabia to stop exporting extremism,1,17
356,we asked all the 2020 democrats how they’d fix child care. here’s what they said.,positive_surprise,"[[""here’s what they said.""],[""how they’d fix child""]]",here’s what they said.,16,22
595,"kamala harris responds to alabama abortion ban by raising $160,000 for pro-choice groups",positive_surprise,"[[""abortion ban by raising $160,000 for pro-choice groups""]]","abortion ban by raising $160,000 for pro-choice groups",12,24
2315,new orleans congressman calls steve king a ‘white supremacist’ after katrina comments,anger,"[[""after katrina comments""]]",after katrina comments,21,25
2972,the unexpected upshot of kavanaugh’s first term on the supreme court,positive_surprise,"[[""first term on the supreme court""]]",first term on the supreme court,11,16
4968,hhs moves to protect religious health providers,fear,"[[""protect religious health providers""]]",protect religious health providers,5,8
3165,illinois lawmakers demand child welfare officials better serve spanish-speaking families,anger,"[[""officials better serve spanish-speaking families""]]",officials better serve spanish-speaking families,9,16
4231,"hunter biden reacts to helicopter over his home: 'f*ck you, mr. president!",anger,"[[""helicopter over his home: 'f*ck you, mr. president""]]","helicopter over his home: 'f*ck you, mr. president",7,22
3081,"nigeria’s small businesses want government help, but corruption is draining it away",sadness,"[[""want government help, but corruption is draining it away""]]","want government help, but corruption is draining it away",8,17
4665,"farage's brexit party smashes 100,000 registered supporters target, aims to pass tory party",disgust,"[[""registered supporters""]]",registered supporters,14,15
3047,pipeline battle could help trump win mn in 2020,positive_surprise,"[[""win mn in 2020""]]",win mn in 2020,7,11
4446,venezuela's top court targets opposition lawmakers,fear,"[[""opposition lawmakers""]]",opposition lawmakers,10,12
2120,"leon redbone, a mysterious musician who evoked a bygone era, has died",sadness,"[[""mysterious musician who evoked a bygone era, has died"",""a mysterious musician who evoked a bygone era, has died""]]","mysterious musician who evoked a bygone era, has died",7,19
1960,‘grimmer by the day’ — farmers’ love for trump in peril,love_including_like,"[[""farmers’ love for trump in peril""]]",farmers’ love for trump in peril,9,17
3550,hunrdeds of rockets launched from gaza into israel,negative_surprise,"[[""hunrdeds of rockets launched from gaza into israel""]]",hunrdeds of rockets launched from gaza into israel,1,15
636,girlfriend of man accused of luring girl into abandoned home says he is caring,trust,"[[""luring girl into abandoned home says he is caring""]]",luring girl into abandoned home says he is caring,6,15
2627,gen x is the best mess ever,negative_surprise,"[[""gen x is the best mess ever""]]",gen x is the best mess ever,1,8
50,i wore a music-activated vibrator to the club instead of doing drugs,annoyance,"[[""doing drugs""]]",doing drugs,15,16
1005,google gets the hot seat over sensorsvault spying,annoyance,"[[""gets the hot seat over sensorsvault spying""]]",gets the hot seat over sensorsvault spying,4,12
789,nato chief plays down divisions as allies mark anniversary,negative_surprise,"[[""allies mark anniversary""]]",allies mark anniversary,8,10
2930,f1: lewis hamilton wins canadian gp after penalty denies vettel – live!,joy,"[[""wins canadian gp""]]",wins canadian gp,10,15
1110,psychedelic tourism is a niche but growing market,annoyance,"[[""niche but growing market""]]",niche but growing market,5,8
3118,callidus capital announces liquidity and recapitalization arrangements and provides update on timing of release of financial statements,positive_anticipation_including_optimism,"[[""liquidity and recapitalization arrangements""]]",liquidity and recapitalization arrangements,6,13
3410,trump pushes another bailout for ‘patriot farmers’ hurt by his trade war,positive_anticipation_including_optimism,"[[""his trade war""]]",his trade war,15,17
2456,british army soldier reprimanded after going on a killing spree during virtual battlefield exercise,shame,"[[""killing spree during virtual battlefield exercise""]]",killing spree during virtual battlefield exercise,14,20
547,trump is driving iran into russia’s arms,guilt,"[[""into russia’s arms"",""driving iran into russia’s arms""]]",into russia’s arms,7,13
3351,manchester city accuse uefa of leaks amid champions league ban threat,disgust,"[[""accuse uefa of leaks amid champions league ban threat""]]",accuse uefa of leaks amid champions league ban threat,4,17
431,florida woman stabs herself in gut three times because she was ‘tired of living in trump’s country',anger,"[[""stabs herself in gut three times because she was ‘tired of living in trump’s country'""]]",stabs herself in gut three times because she was ‘tired of living in trump’s country',5,25
2915,wikileaks' julian assange arrested at ecuador embassy in london; u.s. seeks extradition,positive_anticipation_including_optimism,"[[""u.s. seeks extradition""]]",u.s. seeks extradition,22,28
1665,god have mercy on us all,trust,"[[""mercy on us all"",""god have mercy on us all""]]",mercy on us all,3,6
4686,pennsylvania attorney general josh shapiro will support repeal of controversial law stripping larry krasner of authority,positive_surprise,"[[""will support repeal of controversial law stripping larry krasner of authority""]]",will support repeal of controversial law stripping larry krasner of authority,14,28
780,meghan mccain rips co-host for spreading julian assange ‘propaganda’ on ‘the view’: ‘i hope he rots in hell!’,anger,"[[""for spreading julian assange ‘propaganda’ on ‘the view’:""]]",for spreading julian assange ‘propaganda’ on ‘the view’:,11,27
2923,cory booker’s plan to fix the housing crisis and make renting affordable,positive_surprise,"[[""plan to fix the housing crisis and make renting affordable"",""make renting affordable""]]",plan to fix the housing crisis and make renting affordable,7,17
166,the richest country in the world,positive_anticipation_including_optimism,"[[""the richest country in the world""]]",the richest country in the world,1,6
3287,"ari fleischer lied, and people died",annoyance,"[[""Ari Fleischer Lied, and People Died""]]","ari fleischer lied, and people died",1,10
4508,lizzo spreads the gospel of self-love with powerhouse vocals at sold-out d.c. show,love_including_like,"[[""powerhouse vocals at sold-out d.c. show""]]",powerhouse vocals at sold-out d.c. show,12,23
3767,srećko horvat: ‘the current system is more violent than any revolution’,fear,"[[""‘the current system is more violent than any revolution’""]]",‘the current system is more violent than any revolution’,9,19
4442,"trump's glorified rally is forcing the military to sit down with republicans, and only republicans",fear,"[[""the military to sit down with republicans, and only republicans""]]","the military to sit down with republicans, and only republicans",11,23
13,dow takes 700-point nosedive as trade war escalates,negative_surprise,"[[""trade war""]]",trade war,11,12
2081,bill gates reveals the biggest mistake of his career,negative_surprise,"[[""reveals the biggest mistake of his career""]]",reveals the biggest mistake of his career,3,9
3658,'fantasist known as nick' claimed ex-mp harvey proctor was violent,disgust,"[[""was violent""]]",was violent,20,21
2704,rhino release: epic journey to freedom in rwanda,joy,"[[""epic journey to freedom in rwanda""]]",epic journey to freedom in rwanda,5,12
4512,buttigieg skeptical sanders could beat trump,negative_anticipation_including_pessimism,"[[""could beat trump""]]",could beat trump,7,10
2949,markets right now: stocks regain some of lost ground,positive_surprise,"[[""stocks regain some of lost ground""]]",stocks regain some of lost ground,5,10
1477,mueller report details trump’s attempts to influence probe,negative_anticipation_including_pessimism,"[[""report details trump’s attempts to influence probe""]]",report details trump’s attempts to influence probe,4,13
4757,ny times bemoans ‘disciplined’ mueller outfoxed by trump and ‘handpicked’ barr,sadness,"[[""trump and ‘handpicked’ barr"",""outfoxed by trump and ‘handpicked’ barr""]]",trump and ‘handpicked’ barr,18,27
2786,from embassy to prison: assange settles in for legal battle,negative_surprise,"[[""assange settles in for legal battle""]]",assange settles in for legal battle,6,14
1302,sophie turner discusses kit harington making more money than her on game of thrones,trust,"[[""making more money than her on game of thrones""]]",making more money than her on game of thrones,10,19
2657,sudan and algeria overthrow despots but not their political systems,negative_anticipation_including_pessimism,"[[""overthrow despots but not their political systems""]]",overthrow despots but not their political systems,7,15
2885,to hold but not to have: california's marijuana laws get weird when you're in jail,negative_surprise,"[[""when you're in jail""]]",when you're in jail,19,24
2703,police officer cared for lonely elderly man for 2 years after meeting him on duty,joy,"[[""cared for lonely elderly man for 2 years""]]",cared for lonely elderly man for 2 years,3,10
1243,aoc's chief of staff likens moderate democrats to jim crow supporters,disgust,"[[""moderate democrats to jim crow supporters""]]",moderate democrats to jim crow supporters,10,17
4116,reddit group becomes flashpoint in sex abuse scandal at la luz del mundo church,sadness,"[[""becomes flashpoint in sex abuse scandal at la luz del mundo church""]]",becomes flashpoint in sex abuse scandal at la luz del mundo church,4,19
4788,‘maga bomber’: i didn’t know pipe bombs could hurt anyone,negative_surprise,"[[""i didn’t know pipe bombs could hurt anyone""]]",i didn’t know pipe bombs could hurt anyone,7,16
2466,"rosie o'donnell makes bizarre 'concentration camps' comment, says facilities meet the definition",disgust,"[[""comment, says facilities meet the definition""]]","comment, says facilities meet the definition",14,20
4917,nba coach walton accused of sexual assault,shame,"[[""sexual assault""]]",sexual assault,8,9
2810,justice gorsuch wages war for the constitutional order,positive_surprise,"[[""wages war for the constitutional order""]]",wages war for the constitutional order,5,10
4591,pence's abrupt travel cancellation sparks speculation,negative_anticipation_including_pessimism,"[[""pence's abrupt travel cancellation sparks""]]",pence's abrupt travel cancellation sparks,1,8
3378,rep. justin amash becomes the first republican in congress to call trump’s conduct impeachable,positive_surprise,"[[""call trump’s conduct impeachable""]]",call trump’s conduct impeachable,15,23
1361,activists are actually trying to get rid of straw emojis now,positive_anticipation_including_optimism,"[[""trying to get rid of straw emojis now""]]",trying to get rid of straw emojis now,4,14
4160,"yes, my fellow soldiers died in vain",sadness,"[[""my fellow soldiers died in vain""]]",my fellow soldiers died in vain,3,8
1324,"video shows far-left activists storm ice facility, remove american flag — then raise mexican flag",negative_surprise,"[[""remove american flag — then raise mexican flag""]]",remove american flag — then raise mexican flag,11,22
105,nobody was a more complete russian collusion stooge than the u.s. media,disgust,"[[""nobody was a more complete russian collusion stooge than the u.s. media""]]",nobody was a more complete russian collusion stooge than the u.s. media,1,22
3648,"yg shooting: rapper's bulletproof escalade is tied to wild gun battle, police pursuit, and compton killing",fear,"[[""police pursuit,""]]","police pursuit,",20,22
1349,a generation is learning how to strike,positive_surprise,"[[""learning how to strike""]]",learning how to strike,4,7
3984,cnn disgraces itself as the mueller report shatters media dreams,negative_surprise,"[[""mueller report shatters media dreams""]]",mueller report shatters media dreams,10,18
4786,your game of thrones favorites have the most emotional tributes to the show you never wanted to leave,sadness,"[[""game of thrones""]]",game of thrones,2,5
1065,michelle obama's ex-chief of staff admits she did try to intervene in smollett investigation,negative_surprise,"[[""admits she did try to intervene in smollett investigation""]]",admits she did try to intervene in smollett investigation,14,25
4847,rep. ocasio-cortez demands answers about the 'magically added' racist census question,disgust,"[[""demands answers about the 'magically added' racist census question""]]",demands answers about the 'magically added' racist census question,11,22
3764,"seedy app that 'undressed' women sparks backlash, taken offline",disgust,"[[""seedy app that 'undressed' women sparks backlash""]]",seedy app that 'undressed' women sparks backlash,1,12
1824,colorado teachers’ union protest against devos turns vulgar,anger,"[[""union protest against devos turns vulgar""]]",union protest against devos turns vulgar,5,13
2926,dad posts encouraging signs around town to lower suicide rates,positive_surprise,"[[""posts encouraging signs around town to lower suicide rates""]]",posts encouraging signs around town to lower suicide rates,2,10
242,8-year-old boy saves sister from kidnapping,positive_surprise,"[[""saves sister from kidnapping""]]",saves sister from kidnapping,7,10
2446,unlikely allies ted cruz and alexandria ocasio-cortez team up on bipartisan birth control bill,trust,"[[""bipartisan birth control bill""]]",bipartisan birth control bill,23,29
341,thieves write apology letter and vow to get sober after stealing from boy with brain tumor,guilt,"[[""from boy with brain tumor""]]",from boy with brain tumor,12,16
2737,a modest proposal for countering russian election interference,positive_anticipation_including_optimism,"[[""russian""],[""election interference""]]",russian,7,9
1024,investments limited bullish on south florida real estate,positive_anticipation_including_optimism,"[[""bullish on south florida real estate""]]",bullish on south florida real estate,3,11
1911,study: single women are driving gentrification in hong kong — and the world,joy,"[[""and the world""],[""hong kong""]]",and the world,16,18
1805,a case for civic splendor: notes on the city beautiful movement,joy,"[[""notes on the city beautiful movement""]]",notes on the city beautiful movement,10,15
1644,dnc raises the bar for democrats to qualify for third primary debate,positive_surprise,"[[""dnc raises the bar for democrats to qualify for third primary debate""]]",dnc raises the bar for democrats to qualify for third primary debate,1,14
47,house panel subpoenas kellyanne conway over ‘egregious’ ethics violations,annoyance,"[[""ethics violations""]]",ethics violations,20,21
1457,john carlos frey: america's deadly stealth war on the mexico border is approaching genocide,negative_anticipation_including_pessimism,"[[""america's deadly stealth war on the mexico border is approaching genocide""]]",america's deadly stealth war on the mexico border is approaching genocide,9,26
1629,boris johnson faces questions over ‘arguably racist’ comments,shame,"[[""questions over ‘arguably racist’ comments""]]",questions over ‘arguably racist’ comments,7,13
4566,huawei founder says revenue will be $30 billion below forecast,negative_surprise,"[[""says revenue will be $30 billion below forecast"",""revenue will be $30 billion below forecast""]]",says revenue will be $30 billion below forecast,5,13
1082,"number of the day: 18% of er visits end with surprise bills, report says",negative_surprise,"[[""end with surprise bills, report says""]]","end with surprise bills, report says",11,17
4202,"iran seizes foreign oil tanker with crew of 12, state tv says",negative_surprise,"[[""seizes foreign oil tanker with crew of 12, state tv says""]]","seizes foreign oil tanker with crew of 12, state tv says",3,16
975,don’t compare the situation on the border to the holocaust,annoyance,"[[""the holocaust""]]",the holocaust,11,15
3499,"update: mass shooter connor betts a liz warren supporter, hated trump, twitter profile included: “he/him / anime fan / metalhead / leftist / i’m going to hell and i’m not coming back.”",anger,"[[""“he/him / anime fan / metalhead / leftist / i’m going to hell and i’m not coming back.”""]]",“he/him / anime fan / metalhead / leftist / i’m going to hell and i’m not coming back.”,26,54
4894,america now has its first post-christian generation. but this pastor says don't panic — there's hope.,fear,"[[""america now has its first post-christian generation.""]]",america now has its first post-christian generation.,1,14
1067,mind-bending optical illusion has people mistaking a car door for the beach,negative_surprise,"[[""has people mistaking a car door for the beach""]]",has people mistaking a car door for the beach,6,15
4614,transgender activist indicted on charges of theft — from anti-trump 'women's march',disgust,"[[""from anti-trump 'women's march'""]]",from anti-trump 'women's march',9,19
1288,new comey op-ed: the “deep state treason” conspiracy theory about russiagate is the dumbest of dumb lies,annoyance,"[[""conspiracy theory about russiagate is the dumbest of dumb""]]",conspiracy theory about russiagate is the dumbest of dumb,14,26
2254,"brazilian airman caught with 86 pounds of cocaine ahead of g20 summit, officials say",negative_surprise,"[[""caught with 86 pounds of cocaine""]]",caught with 86 pounds of cocaine,6,11
299,let’s all witness maisie williams silencing a troll who doubts the power of arya stark,annoyance,"[[""silencing a troll who doubts the power of arya stark""]]",silencing a troll who doubts the power of arya stark,12,24
3335,harvard study finds trigger warnings do more harm than good,trust,"[[""harvard study finds trigger warnings do more harm than good""]]",harvard study finds trigger warnings do more harm than good,1,12
2768,democratic presidential candidates endorse pro-life house democrat’s primary challenger,pride,"[[""endorse pro-life house democrat’s primary challenger""]]",endorse pro-life house democrat’s primary challenger,4,15
3765,shelter dog who loves his bowl gets adopted after his story goes viral,positive_surprise,"[[""shelter dog who loves his bowl gets adopted after his story goes viral""]]",shelter dog who loves his bowl gets adopted after his story goes viral,1,13
831,stacey abrams equates abortion restrictions with ‘forced pregnancy’,disgust,"[[""equates abortion restrictions with ‘forced pregnancy’"",""abortion restrictions with ‘forced pregnancy’""]]",equates abortion restrictions with ‘forced pregnancy’,7,16
4197,connecticut house sends nation's most generous family leave policy to governor,positive_anticipation_including_optimism,"[[""sends nation's most generous family leave policy to governor""]]",sends nation's most generous family leave policy to governor,5,15
4412,"in face of death threats, omar says we must confront white nationalism",fear,"[[""we must confront white nationalism""]]",we must confront white nationalism,10,14
2789,"gradually, nervously, courts are granting rights to animals",positive_anticipation_including_optimism,"[[""courts are granting rights to animals""]]",courts are granting rights to animals,5,10
4320,donald trump campaign’s latest unofficial surrogate is an alleged murderer,shame,"[[""latest unofficial surrogate is an alleged murderer""]]",latest unofficial surrogate is an alleged murderer,8,15
1594,‘disrespectful.’ sophie turner addresses those game of thrones remake petitions,shame,"[[""‘disrespectful.’ sophie turner addresses those game of thrones remake petitions""]]",‘disrespectful.’ sophie turner addresses those game of thrones remake petitions,1,22
688,brooks: 'a lot of people got out ahead of the evidence' on collusion - trump isn't exonerated,disgust,"[[""got out ahead of the evidence' on collusion""]]",got out ahead of the evidence' on collusion,10,20
2133,rescue team search for british man who vanished after taking a jet ski out to sea in tenerife,sadness,"[[""british man who vanished""]]",british man who vanished,5,10
1461,kim jong un accepts trump's invitation to meet at dmz,positive_surprise,"[[""accepts trump's invitation to meet at dmz"",""trump's invitation to meet at dmz""]]",accepts trump's invitation to meet at dmz,6,17
4511,battle looms over full details of mueller report,negative_anticipation_including_pessimism,"[[""full details of mueller report"",""battle looms over full details""]]",full details of mueller report,5,11
2519,freak-out over north korea’s missile test defies rationality,fear,"[[""missile test""]]",missile test,11,12
4363,‘anti-semitic rhetoric’ at duke-unc event prompts rep. holding to ask for federal probe,disgust,"[[""federal probe""]]",federal probe,24,25
2124,"mass stabbing in japan leaves 17 injured, 3 dead, including 11-year-old girl",sadness,"[[""mass stabbing in japan leaves 17 injured, 3 dead, including 11-year-old girl""]]","mass stabbing in japan leaves 17 injured, 3 dead, including 11-year-old girl",1,20
2752,campaign donations: $24 million is good for a dem; $105 million better for a trump,negative_surprise,"[[""$105 million better for a trump""]]",$105 million better for a trump,13,20
3731,man arrested after filling hotel bath with potatoes during five-day mdma binge,guilt,"[[""filling hotel bath with potatoes during five-day""],[""bath with potatoes during five-day mdma binge""]]",filling hotel bath with potatoes during five-day,4,12
4741,"boy, 14, is airlifted to hospital after a tree falls on him while he walks into school",negative_surprise,"[[""tree falls on him while he walks into school""],[""airlifted to hospital""]]",tree falls on him while he walks into school,13,21
2978,zero elephants killed by poachers in over a year at one of africaand#039;s largest wildlife preserves,positive_surprise,"[[""zero elephants killed""]]",zero elephants killed,1,3
3966,an ageing world needs more resourceful robots,positive_anticipation_including_optimism,"[[""needs more resourceful robots""]]",needs more resourceful robots,5,9
1228,"white house: we’re not considering busing migrants to “sanctuary cities.” trump: yes, we are!",negative_surprise,"[[""we’re not considering busing migrants to “sanctuary cities.”""]]",we’re not considering busing migrants to “sanctuary cities.”,4,17
4273,still so mad! hillary’s tweet nagging hasbro to remove certain ‘trump words’ from scrabble app backfires in a bigly way,anger,"[[""remove certain ‘trump words’ from scrabble app""]]",remove certain ‘trump words’ from scrabble app,16,28
167,the rumour that led to medical researchers in ethiopia being killed by a mob,annoyance,"[[""killed""]]",killed,15,15
3396,the most unpopular presidential election winner ever could win again in 2020,negative_anticipation_including_pessimism,"[[""the most unpopular presidential election winner ever could win again in 2020""]]",the most unpopular presidential election winner ever could win again in 2020,1,12
2169,new zealand mosque chairman claims mossad organized shooting,fear,"[[""claims mossad organized shooting""]]",claims mossad organized shooting,7,11
1338,‘we’re too late’: democrat andrew yang takes climate hysteria to new level,negative_surprise,"[[""climate hysteria to new level"",""takes climate hysteria to new level""]]",climate hysteria to new level,16,22
2009,coles faces furious backlash over its latest collectables promotion,anger,"[[""backlash over its latest collectables promotion""]]",backlash over its latest collectables promotion,5,12
1175,theresa may is hilariously bad at her job,shame,"[[""is hilariously bad at her job""]]",is hilariously bad at her job,4,11
2732,15 democratic candidates pledge to seek gender parity in their national security teams,positive_anticipation_including_optimism,"[[""seek gender parity in their national security teams""]]",seek gender parity in their national security teams,6,14
2306,mike pence’s reply to pete buttigieg ignores the brutality of anti-lgbtq policies,disgust,"[[""ignores the brutality of anti-lgbtq policies""]]",ignores the brutality of anti-lgbtq policies,14,25
2205,passenger feared to have fallen overboard on cruise ship,fear,"[[""to have fallen overboard on cruise ship""]]",to have fallen overboard on cruise ship,3,10
3727,kevin costner is disappointed with american politics: 'shame on us',disgust,"[[""american politics: 'shame on us'""]]",american politics: 'shame on us',9,18
4288,"trump thinks his critics are traitors, and they sling the charge back at him",disgust,"[[""they sling the charge back at him""]]",they sling the charge back at him,11,18
4057,"florida waitress, 19, breaks her back after diving 20 feet off a pier to save a drowning child",sadness,"[[""save a drowning child""]]",save a drowning child,19,22
3780,the republican party is losing its future,negative_surprise,"[[""the republican party is losing its future""]]",the republican party is losing its future,1,7
3959,al qaeda’s master terrorists are still on facebook and youtube,fear,"[[""are still on facebook and youtube""]]",are still on facebook and youtube,9,17
